,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
SRP14,0.7358,0.2642,1.024251926322986,0.0034506447,0.0027193734,0.0,0.25,0.3574612,0.38692284,0.2915276,-1.1032486,1.2669897,2.4202335,6.8974357,0.8832684824902723,0.9692307692307692,34.194168,25.433056,False,NK cell vs cDC,NK cell,cDC,0.5780671867214916
UBA1,0.7356,0.26439999999999997,1.023223360525498,0.00020424458,0.00018854537,0.0,0.25,0.13939495,0.19041252,0.79422677,-3.5782852,3.0859928,0.118287936,0.46666667,0.10894941634241245,0.3641025641025641,1.6226012,1.9437897,False,NK cell vs cDC,NK cell,cDC,0.5777385491863974
TPT1,0.735,0.265,1.0201406490962084,0.016509233,0.013505144,0.0,0.25,0.24852732,0.23764491,0.6672657,-1.8840938,2.4368978,11.909728,33.907692,0.9875486381322958,0.9948717948717949,164.16844,132.7206,False,NK cell vs cDC,NK cell,cDC,0.5767541260631921
EIF4A3,0.7332,0.26680000000000004,1.0109191780816658,0.00023558186,0.00026179364,0.0,0.25,-0.19120422,-0.20192242,0.7295487,-2.9672146,2.629119,0.17743191,0.86153847,0.15875486381322956,0.5487179487179488,2.416097,3.1112888,False,NK cell vs cDC,NK cell,cDC,0.5738141747554886
MED8,0.7328,0.2672,1.008875347918569,0.00011300716,0.00010744473,0.0,0.25,0.04657883,0.045009613,0.73170537,-2.356327,3.039463,0.07470817,0.34871796,0.07081712062256809,0.2923076923076923,0.96898115,1.1988658,False,NK cell vs cDC,NK cell,cDC,0.5731635461964919
SLC39A1,0.7328,0.2672,1.008875347918569,0.00012359375,0.000114303264,0.0,0.25,0.056350768,0.061643124,0.7360678,-3.4738264,2.24298,0.08638132,0.31794873,0.08482490272373541,0.26153846153846155,1.2118365,1.0912032,False,NK cell vs cDC,NK cell,cDC,0.5731635461964919
PARP4,0.731,0.269,0.9997020566531093,0.00010267152,9.100392e-05,0.0,0.25,0.10528218,0.102059364,0.7462258,-2.3515444,3.2944307,0.07081712,0.26666668,0.0669260700389105,0.2205128205128205,0.9834615,0.9689196,False,NK cell vs cDC,NK cell,cDC,0.5702477199975919
KDM3B,0.7294,0.27059999999999995,0.9915805393928767,7.366846e-05,7.1194896e-05,0.0,0.25,0.044878166,0.091632366,0.74312186,-3.4179993,3.0980215,0.045914397,0.13846155,0.0443579766536965,0.13846153846153847,0.7381787,0.60552734,False,NK cell vs cDC,NK cell,cDC,0.5676722077383959
EEF1G,0.729,0.271,0.9895548879460099,0.010984137,0.010836151,0.0,0.25,-0.076600686,-0.06611323,0.71509117,-2.8646545,2.6891317,7.919844,30.861538,0.9813229571984435,0.9948717948717949,109.94803,114.69422,False,NK cell vs cDC,NK cell,cDC,0.5670307091255943
PFN1,0.7286,0.2714,0.9875311140526636,0.013818265,0.010073204,0.0,0.25,0.37951785,0.3798933,0.5530383,-1.537323,2.2552938,9.242802,26.697435,0.9867704280155642,0.9897435897435898,128.44852,97.128334,False,NK cell vs cDC,NK cell,cDC,0.5663901566762818
