Geneid,DZQV_mDC_rep4,925L_mDC_rep2,9JD4_mDC_rep1,G4YW_mDC_rep3,DZQV_NK_rep4,925L_NK_rep2,9JD4_NK_rep1,G4YW_NK_rep3
AC092745.5,1,9,8,2,0,0,0,1
AC092745.4,4,0,0,7,0,0,0,0
LINC00937,56,72,29,30,0,0,0,0
AC092745.1,0,0,3,3,0,0,0,0
CLEC6A,93,29,9,64,0,0,0,0
CLEC4D,51,6,27,44,0,0,0,2
CLEC4E,282,202,95,106,0,0,0,0
AC092746.1,0,0,1,0,0,0,0,0
AICDA,0,0,1,0,0,0,0,0
MFAP5,0,0,0,0,0,0,0,0
AC092490.2,0,0,0,0,0,0,0,0
RIMKLB,78,56,156,84,375,443,340,496
A2ML1-AS1,0,0,1,0,0,0,0,0
AC092490.1,2,2,0,4,16,0,0,65
A2ML1-AS2,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,1
AC006581.2,0,1,0,2,6,0,1,1
PHC1,31,29,21,20,114,101,99,128
M6PR,4580,4388,5109,4587,2914,3260,3000,3988
KLRG1,55,150,256,159,1477,880,2695,2486
AC006581.1,0,0,1,0,2,0,5,3
LINC00612,3,0,3,4,74,90,107,239
A2M-AS1,15,24,50,80,121,69,118,191
A2M,97,204,178,94,544,386,665,1200
PZP,10,9,4,1,221,148,280,584
LINC00987,2,14,1,3,73,41,44,140
AC010175.1,0,0,2,0,81,10,24,48
AC009533.3,0,0,0,0,0,0,0,0
LINC02367,7,9,2,1,3,11,8,12
AC009533.4,0,0,0,0,0,0,0,0
AC092821.3,323,452,400,327,1315,2709,1931,2226
KLRB1,0,0,0,2,1607,1598,1768,1801
AC010186.1,20,8,3,0,30,21,1,2
AC010186.3,82,193,81,160,469,1011,820,677
CLEC2D,469,647,713,687,3808,8658,6044,7497
LINC02390,7,0,3,7,20,42,17,26
CLECL1,166,97,85,75,4,2,34,12
CD69,1033,926,602,318,6187,2840,1947,2239
KLRF1,22,49,44,27,5850,4273,5733,7425
CLEC2B,363,378,427,255,1009,1088,805,1025
AC091814.1,7,0,18,2,8,22,13,22
KLRF2,2,0,0,0,16,0,0,2
CLEC2A,0,0,0,0,0,0,0,0
LINC02470,0,141,0,147,0,1,0,41
CLEC12A-AS1,7,6,2,6,10,17,8,19
CLEC12A,2276,2530,1880,6361,76,99,73,226
CLEC1B,78,113,81,276,10,16,1,41
CLEC12B,100,154,127,251,35,29,0,67
AC024224.2,0,0,0,0,0,0,0,0
CLEC9A,171,263,366,53,4,3,2,7
CLEC1A,38,44,46,43,0,0,0,0
CLEC7A,1811,2876,2657,3096,2,8,3,43
OLR1,71,26,19,22,0,0,0,0
TMEM52B,98,50,21,38,0,0,0,0
GABARAPL1,1039,1036,425,298,1528,3595,2651,2365
AC115676.1,0,0,0,0,0,0,0,0
KLRD1,0,3,19,1,18715,18368,21618,24277
LINC02617,0,0,0,0,0,0,1,2
LINC02598,0,0,0,0,20,27,21,44
AC022075.1,26,14,20,3,631,2333,1368,1831
KLRK1,20,4,2,1,9241,9839,11237,11609
KLRC4,1,15,0,0,522,1512,848,1109
KLRC3,0,0,0,0,380,727,524,662
KLRC2,0,0,0,0,477,1347,1532,1403
KLRC1,0,0,0,0,2444,1928,1153,1748
EIF2S3B,10,9,5,8,9,20,10,6
LINC02446,0,1,0,0,6,195,31,57
MAGOHB,100,240,99,131,165,288,162,302
STYK1,0,0,0,0,118,284,97,139
YBX3,703,2210,570,446,14,60,30,15
LINC02366,0,0,0,0,0,0,0,0
TAS2R7,0,0,0,0,0,0,0,0
TAS2R8,0,0,0,0,0,0,0,0
TAS2R9,0,0,0,0,0,3,0,0
PRH1,74,46,79,71,50,151,111,140
TAS2R10,15,0,13,2,13,9,0,22
PRR4,50,78,22,19,26,35,56,38
TAS2R13,0,0,0,0,0,0,1,0
PRH2,0,0,20,20,13,4,10,29
TAS2R14,28,0,15,24,29,19,35,12
TAS2R50,9,22,5,0,0,15,3,5
TAS2R20,2,0,4,6,0,1,3,4
TAS2R19,4,0,4,5,9,39,10,14
TAS2R31,1,3,0,5,14,16,8,19
TAS2R46,4,1,14,2,1,3,12,12
TAS2R43,0,1,3,2,1,3,3,2
TAS2R30,8,1,8,13,3,29,12,6
AC134349.1,6,4,10,15,30,79,33,26
SMIM10L1,331,214,378,269,393,422,502,466
TAS2R42,0,0,0,0,0,0,0,0
AC244131.2,0,0,4,0,0,1,0,0
PRB3,5,1,1,0,0,0,0,4
PRB4,0,0,0,0,0,6,0,11
PRB1,0,0,0,0,0,0,1,1
PRB2,0,0,1,0,0,1,0,0
AC078950.1,5,13,15,2,7,12,5,11
AC007450.1,0,0,0,0,0,0,0,0
LINC01252,57,17,9,51,64,78,81,75
ETV6,1660,1571,1594,970,316,274,301,256
BCL2L14,50,0,25,0,0,0,0,0
LRP6,7,4,0,0,0,0,0,0
MANSC1,24,18,47,32,0,1,0,0
LOH12CR2,6,23,21,3,3,0,2,3
BORCS5,209,169,205,106,196,264,125,372
DUSP16,123,231,141,135,60,78,127,125
AC007619.1,10,14,8,4,2,12,11,34
CREBL2,684,849,920,425,123,200,127,182
AC008115.4,4,0,2,4,3,0,6,12
GPR19,3,4,11,6,18,3,15,32
AC008115.2,0,0,1,0,0,0,0,0
CDKN1B,986,1139,1040,628,446,721,599,729
AC008115.3,90,61,97,72,43,35,20,41
AC008115.1,3,2,1,1,0,0,0,0
APOLD1,35,75,37,24,9,16,28,13
DDX47,152,111,88,124,153,261,191,186
GPRC5A,1,3,3,10,0,0,0,0
GPRC5D-AS1,0,0,9,0,0,0,7,5
GPRC5D,0,0,0,0,0,0,0,0
AC007688.3,0,0,0,0,0,0,0,0
HEBP1,480,427,349,268,47,65,45,97
AC023790.2,11,0,6,5,0,0,2,0
FAM234B,245,165,224,182,271,231,171,210
GSG1,0,4,7,0,11,20,4,3
EMP1,611,581,799,526,0,5,0,4
AC022276.1,0,0,0,0,0,0,0,0
LINC01559,0,0,0,0,0,0,0,0
GRIN2B,0,0,0,0,0,0,0,0
AC007527.1,0,0,0,0,0,0,0,0
AC007527.2,0,0,0,0,0,0,0,0
AC007535.1,0,0,0,0,0,0,0,0
AC092112.1,0,0,0,2,0,11,1,23
ATF7IP,2880,3462,3456,2420,4266,8129,7555,6198
PLBD1,7281,7711,7023,7336,32,50,28,35
AC008114.1,6,0,7,13,0,0,0,0
PLBD1-AS1,105,184,117,170,0,0,0,0
GUCY2C,5,3,9,9,0,0,0,0
AC010168.1,1,0,0,0,0,0,1,0
