"","DZQV_mDC_rep4","925L_mDC_rep2","9JD4_mDC_rep1","G4YW_mDC_rep3","DZQV_NK_rep4","925L_NK_rep2","9JD4_NK_rep1","G4YW_NK_rep3"
"MAGEF1",8.32532768046493,8.26821931018146,9.03126596401571,7.45016013401368,6.78248865394635,7.35571163942462,6.54244720837058,6.98709253825905
"AC107294.2",4.56122860248338,3.93406031984605,3.09345191045594,4.59197910856927,1.49952860973784,1.39883278818366,1.46200661755924,3.32759826568568
"LINC02069",0.0413658558867662,-0.414946590264814,0.378460304174505,-0.412876251205542,-0.411560731973585,-0.41653142505177,-0.413500632895995,-0.417287023693313
"AC107294.3",2.13542985146558,1.49215703994428,1.23818002472465,1.31079998801142,0.769509396081091,0.754433779234212,0.763663218070189,0.934405981679695
"AC107294.1",1.32361569044106,1.39533042619143,0.42863572853231,1.08703884296254,0.438764705600966,0.427833637711401,0.434515826044695,0.426159088311327
"VPS8",10.0361976704616,10.0345577973296,10.2276049918755,10.2148536842679,9.94639757030095,10.4328220591735,10.1711711892682,10.1489194539818
"C3orf70",-0.435090488302877,-0.435628390466031,-0.439319223656221,-0.429580418053338,1.03871621644719,-0.44043162398165,-0.431378303507128,-0.442777511250143
"EHHADH-AS1",0,0,0,0,0,0,0,0
"EHHADH",7.09992371178123,6.7814096122336,7.07961043860198,6.1908311932472,4.70173674655352,6.06680772366165,5.20384078740475,5.49932990302989
"MAP3K13",8.7473966668833,8.58777918374642,8.39374313546776,8.27038943758015,7.71120410466854,7.31802487222465,6.96777988061059,6.79263473128929
"TMEM41A",7.87382449839033,7.51710284259007,7.79014719139206,7.98518250534371,8.36896341322118,8.16834050729919,8.51406486919059,8.5704142357101
"AC099661.1",0.609148825931701,0.0726518185784152,0.0711639162731277,0.259045528803464,0.270779073618886,0.070722892206412,0.0744133107617615,0.791719988308357
"LIPH",-0.27971059268431,-0.281096077462526,-0.290711269316971,-0.265740853447165,2.35985960716527,-0.293647305792111,-0.270255240278633,-0.299898602637984
"SENP2",8.55753638814304,7.25438993653925,8.52849910729095,8.50625680569552,8.1043668816016,8.76971509608165,8.92941534908222,8.47158221123115
